Old URL,Status Code,Indexability,Page Title,Meta Description,H1,Canonical,In XML Sitemap,GSC Clicks,GSC Impressions,GSC CTR,GSC Position,Content Type,Likely Audience,SEO Value,Strategic Fit,Category,New Destination,Notes
https://www.velu.us/,301,Non-Indexable,,,,,No,,,,,Homepage,CEO/ED/COO,Unknown,Trust,Preserve / Redirect,https://velu.us/,Core homepage redirect; non-200 status: 301
https://velu.us/,200,Indexable,Virtual CPA & Accounting Services for Nonprofits,"Velu's Nonprofit Fractional CFO, Accounting, and Bookkeeping services will elevate your small business or nonprofit's financial management.",Empower Your Nonprofit to Maximize Community Impact,https://velu.us/,No,320,20368,1.57%,10.03,Homepage,CEO/ED/COO,High,Trust,Preserve / Redirect,https://velu.us/,Core homepage redirect
https://velu.us/wp-content/uploads/2024/08/bookkeepingaccounting.jpg,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/services/nonprofit-bookkeeping-and-accounting/,200,Indexable,Nonprofit Bookkeeping & Accounting in Omaha & Nationwide | Velu,Velu offers expert nonprofit bookkeeping and accounting services locally in Omaha and remotely across the U.S. Simplify your finances today.,"Expert Nonprofit Bookkeeping Services – Accurate, Compliant & Scalable",https://velu.us/services/nonprofit-bookkeeping-and-accounting/,No,2,7234,0.03%,42.78,Service page,CEO/ED/COO,High,Understand core service,Preserve / Redirect,https://velu.us/services/nonprofit-outsourced-accounting-services,Old accounting service mapped to Outsourced Accounting
https://velu.us/process/,200,Indexable,Our Financial Process – Nonprofit Support in Omaha & Beyond,"Discover Velu’s seamless process for nonprofit financial management. From Omaha to nationwide, we ensure accurate, timely, and efficient support.",A Seamless Transition to Financial Clarity,https://velu.us/process/,No,0,1426,0%,6.08,Blog post,Mixed,High,Future use unlikely,Archive,Archived for retention,Owner decision: archive for retention only; not part of launch-site rebuild and not currently planned for future funnel use.
https://velu.us/wp-content/uploads/2024/08/uniqueapproach.jpg,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/services/nonprofit-taxes/,200,Indexable,Form 990 Prep – Compliance Experts in Omaha & Beyond,Filing Form 990 is critical for nonprofits. Velu ensures compliance and transparency for organizations in Omaha and across the U.S.,Expert Form 990 Preparation & Nonprofit Tax Services – Stay IRS-Compliant & Penalty-Free,https://velu.us/services/nonprofit-taxes/,No,6,594,1.01%,17.41,Service page,CEO/ED/COO,Medium,Understand core service,Preserve / Redirect,https://velu.us/services/nonprofit-tax-services,Old tax/Form 990 service mapped to Tax Services
https://velu.us/wp-content/mu-plugins/vendor/wpex/godaddy-launch/includes/Dependencies/GoDaddy/Styles/build/latest.css?ver=2.0.2,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/privacy-policy/,200,Indexable,Privacy Policy – Velu Protects Your Data with Care,"Velu LLC, is committed to protecting the privacy of individuals whose personal data we collect (“you” or “your”).",Privacy Policy,https://velu.us/privacy-policy/,No,4,1420,0.28%,8.39,Legal page,Mixed,High,Trust,Preserve / Redirect,https://velu.us/privacy-policy,Legal page mapped to current legal page
https://velu.us/terms-and-conditions/,200,Indexable,Terms and Conditions – Policies for Our NFP Partners | Velu LLC,"Review our terms and conditions to understand the rules and regulations for the use of Velu LLC’s website, located at velu.us.",Terms and Conditions,https://velu.us/terms-and-conditions/,No,1,463,0.22%,12.87,Legal page,Mixed,Medium,Trust,Preserve / Redirect,https://velu.us/terms-and-conditions,Legal page mapped to current legal page
https://velu.us/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/motion-effects.js?ver=4.27.7,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/salvattore.js?ver=4.27.7,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/resources/,200,Indexable,"Explore Nonprofit Finance Resources – Guides, Templates, & More","Stay up to date with nonprofit trends, development tactics, and management tips. Get the tools you neeed to lead your nonprofit with confidence!",Nonprofit Accounting Resources,https://velu.us/resources/,No,1,2507,0.04%,22.55,Template,Mixed,High,Future use unlikely,Archive,Archived for retention,"Old resource hub URL; retain for reference only, not a current funnel priority."
https://velu.us/wp-includes/js/comment-reply.min.js?ver=6.9.4,200,Indexable,,,,,No,,,,,Blog post,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/wp-content/themes/Divi/style-static.min.css?ver=4.27.7,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/wp-content/uploads/2024/09/Joe-Nelson.jpg,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/wp-content/uploads/2025/01/shutterstock_608938325.jpg,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/wp-includes/css/dist/components/style.min.css?ver=6.9.4,200,Indexable,,,,,No,,,,,Blog post,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/wp-content/uploads/2024/09/Graham_Christensen.jpg,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/wp-content/uploads/2024/08/service.jpg,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/easypiechart.js?ver=4.27.7,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/sticky-elements.js?ver=4.27.7,200,Indexable,,,,,No,,,,,Media,Mixed,Low,Wrong-fit traffic,Discard,No special preservation,Media or technical asset URL with no clear strategic value; no special preservation.
https://velu.us/services/,200,Indexable,"Nonprofit CFO, Accounting, and Tax Services | Velu LLC","Velu LLC provides expert nonprofit accounting, CFO, and CPA services to support your organization’s financial health and growth.",Purpose-Driven Nonprofit CFOs and CPAs,https://velu.us/services/,No,9,2696,0.33%,5.02,Service page,Mixed,High,Understand core service,Preserve / Redirect,https://velu.us/,Old services overview mapped to homepage
https://velu.us/accounting-tools/,200,Indexable,Nonprofit Accounting Tools – Omaha & Nationwide | Velu LLC,Browse Velu’s nonprofit accounting tools and templates. Simplify financial management in Omaha or remotely across the U.S.,Nonprofit Accounting Tools & Templates,https://velu.us/accounting-tools/,No,0,686,0%,21.84,Template,Mixed,Medium,Future use unlikely,Archive,Archived for retention,"Old resource hub URL; retain for reference only, not a current funnel priority."
